Product,Name,Product ISIN,Product Line,Product Type,Product Type Symbol,Liquidity Class,Trading Environment,Partition,Currency,US Approval Type,Settlement Type,Contract Size,Tick Size,Tick Value,Max Order Qty (TSL),Max TES Qty (TSL),Max Future Spread Qty (TSL),Max Market Order Qty,Position Limit,Pre Trade Limits,Underlying,Underlying ISIN,Underlying Name,Underlying Category
SWOF,FUT ON SOFTWAREONE HOLDING,DE000A26RXX8,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,CHF,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,339285,TES only,SWO,CH0496451508,SOFTWAREONE HOLDING,STOCK_EQUITIES
SWSF,FUT ON SANOMA OYJ,DE000A0JZH72,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,204212,TES only,SWS,FI0009007694,SANOMA OYJ,STOCK_EQUITIES
SY1,OPT ON SYMRISE,DE000SYM9999,OPTION,SINGLE STOCK OPTIONS,OSTK,3,T7,10,EUR,NONE,Physical,100,0.01,0.01,5000,250000,50000,999999,319065,TES only,SY1,DE000SYM9999,SYMRISE AG,STOCK_EQUITIES
SY1F,FUT ON SYMRISE AG,DE000A0SNG92,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,319065,TES only,SY1,DE000SYM9999,SYMRISE AG,STOCK_EQUITIES
SYMF,FUT ON NORTONLIFELOCK INC.,DE000A0YKRL8,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,USD,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,SYMC,US6687711084,NORTONLIFELOCK INC.,STOCK_EQUITIES
SYYF,FUT ON SYSCO CORP.,DE000A160JK2,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,USD,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,SYY,US8718291078,SYSCO CORP. REGISTERED S,STOCK_EQUITIES
SZG,OPT ON SALZGITTER,DE0006202005,OPTION,SINGLE STOCK OPTIONS,OSTK,3,T7,9,EUR,NONE,Physical,100,0.01,0.01,5000,250000,50000,999999,95434,TES only,SZG,DE0006202005,SALZGITTER,STOCK_EQUITIES
SZGG,FUT ON SALZGITTER,DE000A0V8M94,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,95434,TES only,SZG,DE0006202005,SALZGITTER,STOCK_EQUITIES
SZU,OPT ON SUEDZUCKER,DE0007297004,OPTION,SINGLE STOCK OPTIONS,OSTK,3,T7,10,EUR,NONE,Physical,100,0.01,0.01,5000,250000,50000,999999,167788,TES only,SZU,DE0007297004,SUEDZUCKER,STOCK_EQUITIES
SZUG,FUT ON SUEDZUCKER,DE000A1KDYD3,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,167788,TES only,SZU,DE0007297004,SUEDZUCKER,STOCK_EQUITIES
T1CO,TRF ON Covestro AG,DE000A2X1ZW4,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,1COV,DE0006062144,COVESTRO AG,STOCK_EQUITIES
T2FE,TRF ON Ferrari N.V.,DE000A2X10Y7,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,2FE,NL0011585146,FERRARI N.V.,STOCK_EQUITIES
T2KA,THYSSEN KRUPP AG DIV.FUT,DE000A1XQ1V1,FUTURE,SINGLE STOCK DIVIDEND FUTURES,FSTK,,T7,6,EUR,NONE,Cash,1000,0.001,0.001,5000,250000,50000,9999,999999999,TES only,T2KD,XC000A1XQ164,THYSSEN KRUPP AG DIVIDEN,STOCK_DIVIDEND
T2NE,TELEFONICA DIVIDENDS FUT,DE000A1EZH01,FUTURE,SINGLE STOCK DIVIDEND FUTURES,FSTK,,T7,6,EUR,NONE,Cash,1011.4563,0.001,0.001,5000,250000,50000,9999,999999999,TES only,T1ND,XC000A1DKC10,TELEFONICA DIVIDENDS,STOCK_DIVIDEND
T2OT,TOTAL SE DIVIDEND FUT,DE000A1EZH19,FUTURE,SINGLE STOCK DIVIDEND FUTURES,FSTK,,T7,6,EUR,NONE,Cash,1000,0.001,0.001,5000,250000,50000,9999,999999999,TES only,T1OD,XC000A1DKC28,TOTAL SE DIVIDENDS,STOCK_DIVIDEND
T2QI,TELECOM ITALIA DIVIDENDS,DE000A1EZJR0,FUTURE,SINGLE STOCK DIVIDEND FUTURES,FSTK,,T7,6,EUR,NONE,Cash,1000,0.001,0.001,5000,250000,50000,9999,999999999,TES only,T1QD,XC000A1DKDN8,TELECOM ITALIA DIVIDENDS,STOCK_DIVIDEND
T2SC,TESCO PLC DIVIDEND FUTURES,DE000A1KD0R1,FUTURE,SINGLE STOCK DIVIDEND FUTURES,FSTK,,T7,6,GBX,NONE,Cash,1000,0.01,0.01,5000,250000,50000,9999,999999999,TES only,T2SD,XC000A1KD045,TESCO DIVIDENDS,STOCK_DIVIDEND
T3HP,FUT ON Technip Dividends,DE000A2YZFD4,FUTURE,SINGLE STOCK DIVIDEND FUTURES,FSTK,,T7,6,USD,NONE,Cash,1000,0.001,0.001,5000,250000,50000,9999,999999999,TES only,T1HD,XC000A2YZFE4,TECHNIP DIVIDENDS,STOCK_DIVIDEND
T3NE,FUT ON TELEFONICA DIVIDENDS,DE000A160YZ9,FUTURE,SINGLE STOCK DIVIDEND FUTURES,FSTK,,T7,6,EUR,NONE,Cash,1000,0.001,0.001,5000,250000,50000,9999,999999999,TES only,T1ND,XC000A1DKC10,TELEFONICA DIVIDENDS,STOCK_DIVIDEND
T5RF,FUT ON TECNICAS REUNIDAS S.A.,DE000A11RNV5,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,T5R,ES0178165017,TECNICAS REUNIDAS S.A.,STOCK_EQUITIES
T5RP,FUT ON TECNICAS REUNIDAS SA,DE000A2G9UD9,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Physical,100,0.0001,0.0001,5000,250000,50000,500,87757,TES only,T5R,ES0178165017,TECNICAS REUNIDAS S.A.,STOCK_EQUITIES
T7PI,TRF ON Poste Italiane S.p.A.,DE000A2X13G8,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,7PI,IT0003796171,POSTE ITALIANE,STOCK_EQUITIES
TA1F,FUT ON TELEKOM AUSTRIA,DE000A0E4W43,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,341885,TES only,TA1,AT0000720008,TELEKOM AUSTRIA,STOCK_EQUITIES
TAAI,TRF ON Aalberts Industries,DE000A2X1X66,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AACA,NL0000852564,AALBERTS,STOCK_EQUITIES
TAAR,TRF ON ABN AMRO BANK N.V.,DE000A2X1X82,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ABN,NL0011540547,ABN AMRO BANK N.V,STOCK_EQUITIES
TACR,TRF ON ACCOR S.A.,DE000A2X1X90,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ACR,FR0000120404,ACCOR SA,STOCK_EQUITIES
TADS,TRF ON adidas AG,DE000A2X1YB1,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ADS,DE000A1EWWW0,ADIDAS AG,STOCK_EQUITIES
TAEN,TRF ON AEGON N.V.,DE000A2X1YC9,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AEN,NL0000303709,AEGON NV,STOCK_EQUITIES
TAEP,TRF ON Aena SME S.A.,DE000A2X1YD7,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AENA,ES0105046009,AENA SA,STOCK_EQUITIES
TAFR,TRF ON Air France-KLM,DE000A2X1YH8,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AFR,FR0000031122,AIR FRANCE-KLM,STOCK_EQUITIES
TAG,OPT ON TAG IMMOBILIEN AG,DE0008303504,OPTION,SINGLE STOCK OPTIONS,OSTK,3,T7,9,EUR,NONE,Physical,100,0.01,0.01,5000,250000,50000,999999,366247,TES only,TAG,DE0008303504,TAG IMMOBILIEN AG,STOCK_EQUITIES
TAGF,FUT ON TAG,DE000A1PHVS7,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,366247,TES only,TAG,DE0008303504,TAG IMMOBILIEN AG,STOCK_EQUITIES
TAHO,TRF ON Koninklijke Ahold N.V.,DE000A2X12A3,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AHO,NL0011794037,AHOLD DELHAIZE N.V.,STOCK_EQUITIES
TAI3,TRF ON Amadeus IT Group S.A.,DE000A2X1YQ9,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AI3A,ES0109067019,AMADEUS IT GRP SA,STOCK_EQUITIES
TAIR,TRF ON Air Liquide-SA,DE000A2X1YJ4,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AIR,FR0000120073,AIR LIQUIDE,STOCK_EQUITIES
TAKE,TRF ON Arkema,DE000A2X1YU1,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AKE,FR0010313833,ARKEMA SA,STOCK_EQUITIES
TAKU,TRF ON Akzo Nobel N.V,DE000A2X1YL0,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AKU,NL0013267909,AKZO NOBEL N.V.,STOCK_EQUITIES
TALB,TRF ON AIB Group PLC,DE000A2X1YG0,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AIB,IE00BF0L3536,AIB GROUP PLC,STOCK_EQUITIES
TALV,TRF ON ALLIANZ SE,DE000A2X1YM8,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ALV,DE0008404005,ALLIANZ SE,STOCK_EQUITIES
TAMU,TRF ON Amundi S.A.,DE000A2X1YR7,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AMU,FR0004125920,AMUNDI S.A.,STOCK_EQUITIES
TANN,TRF ON Vonovia SE,DE000A2X15J7,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ANN,DE000A1ML7J1,VONOVIA SE,STOCK_EQUITIES
TAOM,TRF ON Alstom S.A.,DE000A2X1YN6,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AOM,FR0010220475,ALSTOM,STOCK_EQUITIES
TAOP,TRF ON Atlantia S.p.A.,DE000A2X1Y08,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AOP5,IT0003506190,ATLANTIA SPA,STOCK_EQUITIES
TARL,TRF ON Aareal Bank AG,DE000A2X1X74,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ARL,DE0005408116,AAREAL BANK AG,STOCK_EQUITIES
TASG,TRF ON Assicurazioni Generali,DE000A2X1YZ0,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ASG,IT0000062072,GENERALI,STOCK_EQUITIES
TASI,TRF ON ASM International N.V.,DE000A2X1YW7,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ASI,NL0000334118,ASM INTERNATIONAL N.V. B,STOCK_EQUITIES
